species_name,SRA_run_accession,tissue,gene,count,refseq_id,Q1,Median,Q3,binary_count,n_total_samples,n_expressed_samples,percent_expressed
naked mole rat,SRR5517308,hypothalamus,Sox3,198,XP_004862358.1,1.5,38,452,1,30,30,1
naked mole rat,SRR5517308,hypothalamus,Tbx1,15,XP_021112709.1,1.5,38,452,0,30,2,0.0666666666666667
naked mole rat,SRR5517309,cerebellum,Comp,207,XP_004873449.2,0,26,435,1,25,25,1
naked mole rat,SRR5517309,cerebellum,Foxl2,1,XP_004834389.1,0,26,435,0,25,2,0.08
naked mole rat,SRR5517309,cerebellum,Ppp2r2a,198,XP_021116966.1,0,26,435,1,25,25,1
naked mole rat,SRR5517309,cerebellum,Ppp2r2b,307,XP_004854409.1,0,26,435,1,25,25,1
naked mole rat,SRR5517309,cerebellum,Ppp2r2c,1821,XP_004847376.1,0,26,435,1,25,25,1
naked mole rat,SRR5517309,cerebellum,Ppp2r2d,466,XP_021108913.1,0,26,435,1,25,25,1
naked mole rat,SRR5517309,cerebellum,Prdm12,3,XP_004849163.1,0,26,435,0,25,2,0.08
naked mole rat,SRR5517309,cerebellum,Sox3,13,XP_004862358.1,0,26,435,0,25,3,0.12
naked mole rat,SRR5517309,cerebellum,Tbx1,5,XP_021112709.1,0,26,435,0,25,2,0.08
naked mole rat,SRR5517310,pituitary,Comp,40,XP_004873449.2,1.5,36,477,1,26,10,0.384615384615385
naked mole rat,SRR5517310,pituitary,Foxl2,81,XP_004834389.1,1.5,36,477,1,26,26,1
naked mole rat,SRR5517310,pituitary,Ppp2r2a,245,XP_021116966.1,1.5,36,477,1,26,26,1
naked mole rat,SRR5517310,pituitary,Ppp2r2b,560,XP_004854409.1,1.5,36,477,1,26,26,1
naked mole rat,SRR5517310,pituitary,Ppp2r2c,461,XP_004847376.1,1.5,36,477,1,26,26,1
naked mole rat,SRR5517310,pituitary,Ppp2r2d,535,XP_021108913.1,1.5,36,477,1,26,26,1
naked mole rat,SRR5517310,pituitary,Prdm12,2,XP_004849163.1,1.5,36,477,0,26,2,0.0769230769230769
naked mole rat,SRR5517310,pituitary,Sox3,62,XP_004862358.1,1.5,36,477,1,26,22,0.846153846153846
naked mole rat,SRR5517310,pituitary,Tbx1,23,XP_021112709.1,1.5,36,477,0,26,15,0.576923076923077
naked mole rat,SRR5517311,hypothalamus,Comp,26,XP_004873449.2,1.5,45,586,0,30,15,0.5
naked mole rat,SRR5517311,hypothalamus,Foxl2,9,XP_004834389.1,1.5,45,586,0,30,2,0.0666666666666667
naked mole rat,SRR5517311,hypothalamus,Ppp2r2a,358,XP_021116966.1,1.5,45,586,1,30,30,1
naked mole rat,SRR5517311,hypothalamus,Ppp2r2b,1126,XP_004854409.1,1.5,45,586,1,30,30,1
