Common Name,AR,ARX,ATN1,CACNA1A,COMP,FOXL2,HOXA13,JPH3,NIPA1,PABPN1,PHOX2B,PRDM12,RUNX2,SOX3,TBP,TBX1,ZIC2
Oenanthe melanoleuca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oikopleura dioica,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Opisthocomus hoazin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oreochromis aureus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Oreotrochilus melanogaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Orycteropus afer afer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ostrea edulis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ovis ammon polii x Ovis aries,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pacific oyster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pacific pocket mouse,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Pacific walrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pallas's mastiff bat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Panamanian white-faced capuchin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pandion haliaetus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pangasius djambal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pantherophis guttatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pararge aegeria aegeria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Patagioenas fasciata monilis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pelecanoides urinatrix,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Phoenicopterus ruber ruber,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora damicornis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pocillopora meandrina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Poecilia mexicana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Porites evermanni,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Porites lobata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Prochilodus magdalenae,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Protobothrops mucrosquamatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Przewalski's horse,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramphastos sulfuratus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rangifer tarandus platyrhyncus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Reeves' muntjac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
